City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
California,,,,,,,,,,,,,,
Estimate,"39,557,045","2,428,493","2,398,894","2,646,096","2,557,470","2,710,448","6,034,398","5,264,457","5,068,026","2,485,050","2,296,376","3,286,461","1,651,296","729,580"
Percent,"39,557,045",6.10%,6.10%,6.70%,6.50%,6.90%,15.30%,13.30%,12.80%,6.30%,5.80%,8.30%,4.20%,1.80%
"Alameda city, California",,,,,,,,,,,,,,
Estimate,"78,322","4,629","4,279","4,968","3,382","3,308","12,317","11,374","10,966","4,062","5,472","8,388","3,752","1,425"
Percent,"78,322",5.90%,5.50%,6.30%,4.30%,4.20%,15.70%,14.50%,14.00%,5.20%,7.00%,10.70%,4.80%,1.80%
"Alhambra city, California",,,,,,,,,,,,,,
Estimate,"84,650","4,572","3,292","3,503","4,096","5,531","17,067","9,773","12,471","5,253","4,202","7,807","3,896","3,187"
Percent,"84,650",5.40%,3.90%,4.10%,4.80%,6.50%,20.20%,11.50%,14.70%,6.20%,5.00%,9.20%,4.60%,3.80%
"Anaheim city, California",,,,,,,,,,,,,,
Estimate,"352,018","25,254","23,626","25,814","22,289","25,059","57,165","47,862","44,966","20,861","17,662","24,919","11,745","4,796"
Percent,"352,018",7.20%,6.70%,7.30%,6.30%,7.10%,16.20%,13.60%,12.80%,5.90%,5.00%,7.10%,3.30%,1.40%
"Antioch city, California",,,,,,,,,,,,,,
Estimate,"111,535","8,088","7,841","7,434","8,926","7,042","15,311","14,701","13,749","7,714","6,357","7,723","5,197","1,452"
Percent,"111,535",7.30%,7.00%,6.70%,8.00%,6.30%,13.70%,13.20%,12.30%,6.90%,5.70%,6.90%,4.70%,1.30%
"Apple Valley town, California",,,,,,,,,,,,,,
Estimate,"73,508","4,356","5,928","6,555","5,940","2,767","7,508","8,865","10,049","4,781","5,326","6,915","2,770","1,748"
Percent,"73,508",5.90%,8.10%,8.90%,8.10%,3.80%,10.20%,12.10%,13.70%,6.50%,7.20%,9.40%,3.80%,2.40%
"Arden-Arcade CDP, California",,,,,,,,,,,,,,
Estimate,"107,894","7,769","6,283","7,019","6,191","7,551","17,005","15,340","9,986","7,953","7,660","9,079","3,555","2,503"
Percent,"107,894",7.20%,5.80%,6.50%,5.70%,7.00%,15.80%,14.20%,9.30%,7.40%,7.10%,8.40%,3.30%,2.30%
"Bakersfield city, California",,,,,,,,,,,,,,
Estimate,"383,601","31,316","27,198","33,624","31,345","26,687","61,683","48,447","42,749","20,295","19,748","23,461","11,545","5,503"
Percent,"383,601",8.20%,7.10%,8.80%,8.20%,7.00%,16.10%,12.60%,11.10%,5.30%,5.10%,6.10%,3.00%,1.40%
"Baldwin Park city, California",,,,,,,,,,,,,,
Estimate,"75,806","4,701","3,248","4,874","6,453","6,191","12,009","9,578","11,890","4,134","4,766","5,038","2,309",615
Percent,"75,806",6.20%,4.30%,6.40%,8.50%,8.20%,15.80%,12.60%,15.70%,5.50%,6.30%,6.60%,3.00%,0.80%
"Bellflower city, California",,,,,,,,,,,,,,
Estimate,"77,132","5,813","5,796","4,785","3,808","5,663","13,729","10,748","10,180","4,662","4,108","4,839","2,160",841
Percent,"77,132",7.50%,7.50%,6.20%,4.90%,7.30%,17.80%,13.90%,13.20%,6.00%,5.30%,6.30%,2.80%,1.10%
"Berkeley city, California",,,,,,,,,,,,,,
Estimate,"121,654","3,342","4,217","3,716","14,180","20,335","22,179","12,803","11,555","6,625","6,040","10,973","4,178","1,511"
Percent,"121,654",2.70%,3.50%,3.10%,11.70%,16.70%,18.20%,10.50%,9.50%,5.40%,5.00%,9.00%,3.40%,1.20%
"Buena Park city, California",,,,,,,,,,,,,,
Estimate,"82,435","3,862","4,474","6,550","4,091","7,281","14,584","9,786","11,413","5,774","4,671","6,020","2,808","1,121"
Percent,"82,435",4.70%,5.40%,7.90%,5.00%,8.80%,17.70%,11.90%,13.80%,7.00%,5.70%,7.30%,3.40%,1.40%
"Burbank city, California",,,,,,,,,,,,,,
Estimate,"103,687","4,143","6,553","4,713","5,145","6,517","15,203","15,964","15,414","8,577","5,917","7,169","5,815","2,557"
Percent,"103,687",4.00%,6.30%,4.50%,5.00%,6.30%,14.70%,15.40%,14.90%,8.30%,5.70%,6.90%,5.60%,2.50%
"Camarillo city, California",,,,,,,,,,,,,,
Estimate,"69,112","4,839","4,192","3,757","4,811","4,821","10,027","8,152","6,545","4,202","3,419","6,775","5,199","2,373"
Percent,"69,112",7.00%,6.10%,5.40%,7.00%,7.00%,14.50%,11.80%,9.50%,6.10%,4.90%,9.80%,7.50%,3.40%
"Carlsbad city, California",,,,,,,,,,,,,,
Estimate,"115,897","4,756","6,172","8,115","7,905","5,727","12,479","13,655","15,698","10,570","8,491","11,218","7,010","4,101"
Percent,"115,897",4.10%,5.30%,7.00%,6.80%,4.90%,10.80%,11.80%,13.50%,9.10%,7.30%,9.70%,6.00%,3.50%
"Carmichael CDP, California",,,,,,,,,,,,,,
Estimate,"65,328","4,554","4,176","3,759","2,259","4,226","9,514","8,356","6,716","5,036","3,652","8,115","3,211","1,754"
Percent,"65,328",7.00%,6.40%,5.80%,3.50%,6.50%,14.60%,12.80%,10.30%,7.70%,5.60%,12.40%,4.90%,2.70%
"Carson city, California",,,,,,,,,,,,,,
Estimate,"91,899","4,577","5,905","6,717","6,927","4,628","13,448","13,667","11,533","5,024","5,726","8,358","3,705","1,684"
Percent,"91,899",5.00%,6.40%,7.30%,7.50%,5.00%,14.60%,14.90%,12.50%,5.50%,6.20%,9.10%,4.00%,1.80%
"Castro Valley CDP, California",,,,,,,,,,,,,,
Estimate,"63,226","3,404","5,210","3,640","3,724","3,111","5,887","9,674","9,796","3,424","4,390","5,755","3,682","1,529"
Percent,"63,226",5.40%,8.20%,5.80%,5.90%,4.90%,9.30%,15.30%,15.50%,5.40%,6.90%,9.10%,5.80%,2.40%
"Chico city, California",,,,,,,,,,,,,,
Estimate,"94,787","4,728","5,774","5,688","8,223","15,517","14,186","10,151","9,429","3,885","4,590","7,415","3,585","1,616"
Percent,"94,787",5.00%,6.10%,6.00%,8.70%,16.40%,15.00%,10.70%,9.90%,4.10%,4.80%,7.80%,3.80%,1.70%
"Chino city, California",,,,,,,,,,,,,,
Estimate,"91,589","5,810","5,738","5,855","3,709","6,034","15,775","15,494","10,159","5,989","4,920","7,735","3,351","1,020"
Percent,"91,589",6.30%,6.30%,6.40%,4.00%,6.60%,17.20%,16.90%,11.10%,6.50%,5.40%,8.40%,3.70%,1.10%
"Chino Hills city, California",,,,,,,,,,,,,,
Estimate,"83,438","7,349","5,147","5,241","4,397","7,607","12,366","10,744","10,512","6,362","5,875","4,646","2,371",821
Percent,"83,438",8.80%,6.20%,6.30%,5.30%,9.10%,14.80%,12.90%,12.60%,7.60%,7.00%,5.60%,2.80%,1.00%
"Chula Vista city, California",,,,,,,,,,,,,,
Estimate,"271,653","18,513","20,083","21,007","17,893","18,990","40,458","38,546","37,842","12,872","14,304","18,063","8,836","4,246"
Percent,"271,653",6.80%,7.40%,7.70%,6.60%,7.00%,14.90%,14.20%,13.90%,4.70%,5.30%,6.60%,3.30%,1.60%
"Citrus Heights city, California",,,,,,,,,,,,,,
Estimate,"87,916","5,038","3,956","6,241","5,708","5,231","13,181","12,720","10,145","5,017","6,176","8,513","3,877","2,113"
Percent,"87,916",5.70%,4.50%,7.10%,6.50%,5.90%,15.00%,14.50%,11.50%,5.70%,7.00%,9.70%,4.40%,2.40%
"Clovis city, California",,,,,,,,,,,,,,
Estimate,"112,019","8,421","9,930","8,658","6,306","6,625","16,823","17,265","11,884","5,455","5,161","10,022","3,644","1,825"
Percent,"112,019",7.50%,8.90%,7.70%,5.60%,5.90%,15.00%,15.40%,10.60%,4.90%,4.60%,8.90%,3.30%,1.60%
"Compton city, California",,,,,,,,,,,,,,
Estimate,"96,616","8,414","7,964","9,023","8,193","5,118","14,526","14,031","11,522","4,818","3,891","5,117","2,329","1,670"
Percent,"96,616",8.70%,8.20%,9.30%,8.50%,5.30%,15.00%,14.50%,11.90%,5.00%,4.00%,5.30%,2.40%,1.70%
"Concord city, California",,,,,,,,,,,,,,
Estimate,"129,681","6,800","6,309","5,734","6,703","9,459","21,670","16,037","17,355","9,873","9,488","12,177","5,888","2,188"
Percent,"129,681",5.20%,4.90%,4.40%,5.20%,7.30%,16.70%,12.40%,13.40%,7.60%,7.30%,9.40%,4.50%,1.70%
"Corona city, California",,,,,,,,,,,,,,
Estimate,"168,826","11,879","12,144","16,877","11,770","11,921","26,320","22,661","21,759","10,353","6,866","9,310","5,624","1,342"
Percent,"168,826",7.00%,7.20%,10.00%,7.00%,7.10%,15.60%,13.40%,12.90%,6.10%,4.10%,5.50%,3.30%,0.80%
"Costa Mesa city, California",,,,,,,,,,,,,,
Estimate,"113,610","6,092","7,230","7,463","7,155","6,378","19,826","18,792","16,670","5,256","5,651","7,409","3,181","2,507"
Percent,"113,610",5.40%,6.40%,6.60%,6.30%,5.60%,17.50%,16.50%,14.70%,4.60%,5.00%,6.50%,2.80%,2.20%
"Daly City city, California",,,,,,,,,,,,,,
Estimate,"107,016","5,213","3,300","4,809","4,766","9,425","20,640","12,240","14,056","7,859","6,566","9,413","5,451","3,278"
Percent,"107,016",4.90%,3.10%,4.50%,4.50%,8.80%,19.30%,11.40%,13.10%,7.30%,6.10%,8.80%,5.10%,3.10%
"Davis city, California",,,,,,,,,,,,,,
Estimate,"69,288","2,538","2,912","2,848","7,309","20,006","7,176","6,717","6,067","3,181","3,028","3,973","2,579",954
Percent,"69,288",3.70%,4.20%,4.10%,10.50%,28.90%,10.40%,9.70%,8.80%,4.60%,4.40%,5.70%,3.70%,1.40%
"Downey city, California",,,,,,,,,,,,,,
Estimate,"112,262","6,004","7,527","6,524","7,181","5,880","18,105","18,568","15,316","5,772","5,691","10,404","3,424","1,866"
Percent,"112,262",5.30%,6.70%,5.80%,6.40%,5.20%,16.10%,16.50%,13.60%,5.10%,5.10%,9.30%,3.10%,1.70%
"East Los Angeles CDP, California",,,,,,,,,,,,,,
Estimate,"117,961","7,014","7,156","8,936","8,607","9,369","20,107","15,784","14,994","6,689","5,924","7,517","3,968","1,896"
Percent,"117,961",5.90%,6.10%,7.60%,7.30%,7.90%,17.00%,13.40%,12.70%,5.70%,5.00%,6.40%,3.40%,1.60%
"El Cajon city, California",,,,,,,,,,,,,,
Estimate,"103,229","7,848","7,030","6,913","6,847","7,586","16,603","15,874","11,836","4,583","5,606","6,768","3,597","2,138"
Percent,"103,229",7.60%,6.80%,6.70%,6.60%,7.30%,16.10%,15.40%,11.50%,4.40%,5.40%,6.60%,3.50%,2.10%
"Elk Grove city, California",,,,,,,,,,,,,,
Estimate,"172,891","9,764","10,771","12,457","13,355","10,291","22,188","23,158","24,230","12,414","10,658","14,260","6,313","3,032"
Percent,"172,891",5.60%,6.20%,7.20%,7.70%,6.00%,12.80%,13.40%,14.00%,7.20%,6.20%,8.20%,3.70%,1.80%
"El Monte city, California",,,,,,,,,,,,,,
Estimate,"115,602","8,563","6,384","8,244","7,843","9,183","18,012","14,071","15,320","6,348","6,250","8,524","4,826","2,034"
Percent,"115,602",7.40%,5.50%,7.10%,6.80%,7.90%,15.60%,12.20%,13.30%,5.50%,5.40%,7.40%,4.20%,1.80%
"Escondido city, California",,,,,,,,,,,,,,
Estimate,"152,232","8,315","10,311","10,369","9,406","10,511","26,222","18,648","17,058","11,278","8,602","12,431","5,972","3,109"
Percent,"152,232",5.50%,6.80%,6.80%,6.20%,6.90%,17.20%,12.20%,11.20%,7.40%,5.70%,8.20%,3.90%,2.00%
"Fairfield city, California",,,,,,,,,,,,,,
Estimate,"116,885","10,265","7,402","7,713","7,086","8,429","19,168","14,469","14,262","6,648","6,216","8,755","4,092","2,380"
Percent,"116,885",8.80%,6.30%,6.60%,6.10%,7.20%,16.40%,12.40%,12.20%,5.70%,5.30%,7.50%,3.50%,2.00%
"Florence-Graham CDP, California",,,,,,,,,,,,,,
Estimate,"63,621","5,046","5,044","6,549","6,036","6,019","9,366","7,953","6,655","3,371","2,505","3,190","1,198",689
Percent,"63,621",7.90%,7.90%,10.30%,9.50%,9.50%,14.70%,12.50%,10.50%,5.30%,3.90%,5.00%,1.90%,1.10%
"Folsom city, California",,,,,,,,,,,,,,
Estimate,"79,015","4,687","6,071","6,023","5,717","3,563","7,902","12,580","13,004","4,880","5,058","5,746","2,868",916
Percent,"79,015",5.90%,7.70%,7.60%,7.20%,4.50%,10.00%,15.90%,16.50%,6.20%,6.40%,7.30%,3.60%,1.20%
"Fontana city, California",,,,,,,,,,,,,,
Estimate,"213,736","13,392","16,335","17,752","19,676","18,621","31,276","28,968","31,821","11,460","7,584","11,304","4,134","1,413"
Percent,"213,736",6.30%,7.60%,8.30%,9.20%,8.70%,14.60%,13.60%,14.90%,5.40%,3.50%,5.30%,1.90%,0.70%
"Fremont city, California",,,,,,,,,,,,,,
Estimate,"237,815","15,189","14,751","15,442","11,438","10,125","37,155","38,145","35,227","16,603","13,306","16,547","9,643","4,244"
Percent,"237,815",6.40%,6.20%,6.50%,4.80%,4.30%,15.60%,16.00%,14.80%,7.00%,5.60%,7.00%,4.10%,1.80%
"Fresno city, California",,,,,,,,,,,,,,
Estimate,"530,073","40,984","41,238","42,607","40,120","39,286","87,704","65,151","59,078","29,242","24,025","35,295","17,188","8,155"
Percent,"530,073",7.70%,7.80%,8.00%,7.60%,7.40%,16.50%,12.30%,11.10%,5.50%,4.50%,6.70%,3.20%,1.50%
"Fullerton city, California",,,,,,,,,,,,,,
Estimate,"139,629","9,216","7,044","8,909","7,666","12,639","25,902","15,619","15,134","10,754","8,517","10,231","5,104","2,894"
Percent,"139,629",6.60%,5.00%,6.40%,5.50%,9.10%,18.60%,11.20%,10.80%,7.70%,6.10%,7.30%,3.70%,2.10%
"Garden Grove city, California",,,,,,,,,,,,,,
Estimate,"172,652","9,401","8,680","10,407","12,399","12,418","24,786","22,472","24,823","12,390","13,169","11,846","6,551","3,310"
Percent,"172,652",5.40%,5.00%,6.00%,7.20%,7.20%,14.40%,13.00%,14.40%,7.20%,7.60%,6.90%,3.80%,1.90%
"Glendale city, California",,,,,,,,,,,,,,
Estimate,"201,374","9,220","8,691","9,571","10,632","11,478","32,150","24,919","31,573","13,981","13,428","18,235","12,123","5,373"
Percent,"201,374",4.60%,4.30%,4.80%,5.30%,5.70%,16.00%,12.40%,15.70%,6.90%,6.70%,9.10%,6.00%,2.70%
"Hawthorne city, California",,,,,,,,,,,,,,
Estimate,"86,970","6,198","5,885","5,981","4,557","8,321","12,984","11,333","12,154","6,002","4,968","4,990","2,476","1,121"
Percent,"86,970",7.10%,6.80%,6.90%,5.20%,9.60%,14.90%,13.00%,14.00%,6.90%,5.70%,5.70%,2.80%,1.30%
"Hayward city, California",,,,,,,,,,,,,,
Estimate,"159,618","11,199","8,059","10,958","9,043","11,833","26,444","22,795","20,062","9,172","9,261","12,593","5,662","2,537"
Percent,"159,618",7.00%,5.00%,6.90%,5.70%,7.40%,16.60%,14.30%,12.60%,5.70%,5.80%,7.90%,3.50%,1.60%
"Hemet city, California",,,,,,,,,,,,,,
Estimate,"85,291","4,633","5,411","6,746","7,117","4,577","10,045","7,738","8,516","4,215","4,859","12,877","5,678","2,879"
Percent,"85,291",5.40%,6.30%,7.90%,8.30%,5.40%,11.80%,9.10%,10.00%,4.90%,5.70%,15.10%,6.70%,3.40%
"Hesperia city, California",,,,,,,,,,,,,,
Estimate,"95,267","5,913","8,723","8,443","6,572","8,909","11,789","11,163","10,942","4,834","6,041","6,633","4,246","1,059"
Percent,"95,267",6.20%,9.20%,8.90%,6.90%,9.40%,12.40%,11.70%,11.50%,5.10%,6.30%,7.00%,4.50%,1.10%
