City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
California,,,,,,,,,,,,,,
Estimate,"39,512,223","2,377,839","2,380,762","2,629,510","2,547,449","2,638,791","6,036,052","5,298,911","4,974,817","2,461,936","2,331,158","3,391,856","1,725,842","717,300"
Percent,"39,512,223",6.00%,6.00%,6.70%,6.40%,6.70%,15.30%,13.40%,12.60%,6.20%,5.90%,8.60%,4.40%,1.80%
"Alameda city, California",,,,,,,,,,,,,,
Estimate,"77,630","5,500","3,982","4,005","3,835","3,943","11,795","12,262","9,363","4,176","5,679","8,635","2,934","1,521"
Percent,"77,630",7.10%,5.10%,5.20%,4.90%,5.10%,15.20%,15.80%,12.10%,5.40%,7.30%,11.10%,3.80%,2.00%
"Alhambra city, California",,,,,,,,,,,,,,
Estimate,"83,732","4,306","4,406","3,195","3,532","6,265","13,078","10,344","11,931","5,317","5,815","9,311","4,319","1,913"
Percent,"83,732",5.10%,5.30%,3.80%,4.20%,7.50%,15.60%,12.40%,14.20%,6.40%,6.90%,11.10%,5.20%,2.30%
"Anaheim city, California",,,,,,,,,,,,,,
Estimate,"350,351","21,537","22,910","19,986","20,850","28,744","59,968","46,117","46,946","23,143","18,867","23,270","12,414","5,599"
Percent,"350,351",6.10%,6.50%,5.70%,6.00%,8.20%,17.10%,13.20%,13.40%,6.60%,5.40%,6.60%,3.50%,1.60%
"Antioch city, California",,,,,,,,,,,,,,
Estimate,"111,506","3,620","5,516","9,442","8,098","7,093","17,281","12,254","14,470","9,362","7,409","10,538","3,101","3,322"
Percent,"111,506",3.20%,4.90%,8.50%,7.30%,6.40%,15.50%,11.00%,13.00%,8.40%,6.60%,9.50%,2.80%,3.00%
"Apple Valley town, California",,,,,,,,,,,,,,
Estimate,"73,464","6,321","4,721","4,792","5,420","5,124","9,469","7,658","6,713","6,109","4,570","7,682","3,492","1,393"
Percent,"73,464",8.60%,6.40%,6.50%,7.40%,7.00%,12.90%,10.40%,9.10%,8.30%,6.20%,10.50%,4.80%,1.90%
"Arden-Arcade CDP, California",,,,,,,,,,,,,,
Estimate,"108,227","7,321","8,511","5,463","6,316","6,322","18,435","13,360","11,318","6,513","7,563","10,319","4,152","2,634"
Percent,"108,227",6.80%,7.90%,5.00%,5.80%,5.80%,17.00%,12.30%,10.50%,6.00%,7.00%,9.50%,3.80%,2.40%
"Bakersfield city, California",,,,,,,,,,,,,,
Estimate,"384,159","29,605","30,665","35,230","29,545","26,493","62,416","49,603","43,140","17,569","19,576","24,635","11,262","4,420"
Percent,"384,159",7.70%,8.00%,9.20%,7.70%,6.90%,16.20%,12.90%,11.20%,4.60%,5.10%,6.40%,2.90%,1.20%
"Baldwin Park city, California",,,,,,,,,,,,,,
Estimate,"75,240","5,878","4,766","4,380","4,022","5,967","11,023","10,078","9,803","4,699","4,810","5,519","3,006","1,289"
Percent,"75,240",7.80%,6.30%,5.80%,5.30%,7.90%,14.70%,13.40%,13.00%,6.20%,6.40%,7.30%,4.00%,1.70%
"Bellflower city, California",,,,,,,,,,,,,,
Estimate,"76,445","3,111","3,911","5,827","6,046","5,002","11,671","10,571","9,570","4,919","5,652","6,257","2,613","1,295"
Percent,"76,445",4.10%,5.10%,7.60%,7.90%,6.50%,15.30%,13.80%,12.50%,6.40%,7.40%,8.20%,3.40%,1.70%
"Berkeley city, California",,,,,,,,,,,,,,
Estimate,"121,353","4,241","3,064","3,847","14,101","19,986","22,360","12,133","11,486","5,280","5,984","12,858","4,497","1,516"
Percent,"121,353",3.50%,2.50%,3.20%,11.60%,16.50%,18.40%,10.00%,9.50%,4.40%,4.90%,10.60%,3.70%,1.20%
"Buena Park city, California",,,,,,,,,,,,,,
Estimate,"81,783","4,776","2,714","4,944","3,344","5,334","12,851","11,841","9,655","5,484","6,392","8,298","3,808","2,342"
Percent,"81,783",5.80%,3.30%,6.00%,4.10%,6.50%,15.70%,14.50%,11.80%,6.70%,7.80%,10.10%,4.70%,2.90%
"Burbank city, California",,,,,,,,,,,,,,
Estimate,"102,508","4,708","4,589","5,822","4,296","4,921","18,962","12,722","13,408","7,555","6,876","10,694","5,202","2,753"
Percent,"102,508",4.60%,4.50%,5.70%,4.20%,4.80%,18.50%,12.40%,13.10%,7.40%,6.70%,10.40%,5.10%,2.70%
"Camarillo city, California",,,,,,,,,,,,,,
Estimate,"69,887","2,899","3,475","4,184","4,474","4,324","8,044","8,557","8,898","5,350","4,359","8,786","4,372","2,165"
Percent,"69,887",4.10%,5.00%,6.00%,6.40%,6.20%,11.50%,12.20%,12.70%,7.70%,6.20%,12.60%,6.30%,3.10%
"Carlsbad city, California",,,,,,,,,,,,,,
Estimate,"115,386","4,555","6,939","6,922","8,392","4,552","12,196","14,811","18,142","9,730","7,755","11,999","6,462","2,931"
Percent,"115,386",3.90%,6.00%,6.00%,7.30%,3.90%,10.60%,12.80%,15.70%,8.40%,6.70%,10.40%,5.60%,2.50%
"Carmichael CDP, California",,,,,,,,,,,,,,
Estimate,"66,800","3,861","3,407","4,500","4,012","2,546","10,291","8,817","7,333","4,770","4,026","6,925","4,512","1,800"
Percent,"66,800",5.80%,5.10%,6.70%,6.00%,3.80%,15.40%,13.20%,11.00%,7.10%,6.00%,10.40%,6.80%,2.70%
"Carson city, California",,,,,,,,,,,,,,
Estimate,"91,407","3,742","3,211","4,458","5,022","8,186","14,977","7,136","12,625","7,563","7,916","10,099","4,432","2,040"
Percent,"91,407",4.10%,3.50%,4.90%,5.50%,9.00%,16.40%,7.80%,13.80%,8.30%,8.70%,11.00%,4.80%,2.20%
"Chico city, California",,,,,,,,,,,,,,
Estimate,"103,315","6,331","5,275","5,406","10,260","15,303","15,232","11,412","9,917","4,650","5,058","7,879","4,820","1,772"
Percent,"103,315",6.10%,5.10%,5.20%,9.90%,14.80%,14.70%,11.00%,9.60%,4.50%,4.90%,7.60%,4.70%,1.70%
"Chino city, California",,,,,,,,,,,,,,
Estimate,"94,352","5,575","4,206","4,399","4,290","6,881","16,764","14,421","13,635","6,219","6,156","7,372","3,062","1,372"
Percent,"94,352",5.90%,4.50%,4.70%,4.50%,7.30%,17.80%,15.30%,14.50%,6.60%,6.50%,7.80%,3.20%,1.50%
"Chino Hills city, California",,,,,,,,,,,,,,
Estimate,"83,843","4,890","3,487","5,849","5,326","5,484","9,856","12,232","12,530","6,461","6,124","7,202","2,761","1,641"
Percent,"83,843",5.80%,4.20%,7.00%,6.40%,6.50%,11.80%,14.60%,14.90%,7.70%,7.30%,8.60%,3.30%,2.00%
"Chula Vista city, California",,,,,,,,,,,,,,
Estimate,"274,485","15,349","21,809","17,483","18,885","17,437","39,729","40,463","40,070","15,587","14,067","19,744","9,351","4,511"
Percent,"274,485",5.60%,7.90%,6.40%,6.90%,6.40%,14.50%,14.70%,14.60%,5.70%,5.10%,7.20%,3.40%,1.60%
"Citrus Heights city, California",,,,,,,,,,,,,,
Estimate,"87,792","3,761","3,756","5,430","4,529","5,231","15,691","10,321","8,732","6,734","7,568","8,970","5,178","1,891"
Percent,"87,792",4.30%,4.30%,6.20%,5.20%,6.00%,17.90%,11.80%,9.90%,7.70%,8.60%,10.20%,5.90%,2.20%
"Clovis city, California",,,,,,,,,,,,,,
Estimate,"114,582","8,137","9,664","11,128","8,215","3,861","15,032","15,891","13,122","7,546","6,610","8,957","4,566","1,853"
