City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
California,,,,,,,,,,,,,,
Estimate,"39,144,818","2,507,649","2,540,713","2,519,716","2,606,760","2,884,717","5,832,712","5,190,370","5,243,141","2,480,156","2,149,326","2,981,899","1,518,127","689,532"
Percent,"39,144,818",6.40%,6.50%,6.40%,6.70%,7.40%,14.90%,13.30%,13.40%,6.30%,5.50%,7.60%,3.90%,1.80%
"Alameda city, California",,,,,,,,,,,,,,
Estimate,"78,614","4,187","4,856","4,035","2,754","4,002","11,336","12,386","12,602","5,773","5,014","6,529","3,599","1,541"
Percent,"78,614",5.30%,6.20%,5.10%,3.50%,5.10%,14.40%,15.80%,16.00%,7.30%,6.40%,8.30%,4.60%,2.00%
"Alhambra city, California",,,,,,,,,,,,,,
Estimate,"85,572","3,829","3,999","3,335","3,942","5,419","15,204","11,826","12,134","7,603","5,149","7,685","3,237","2,210"
Percent,"85,572",4.50%,4.70%,3.90%,4.60%,6.30%,17.80%,13.80%,14.20%,8.90%,6.00%,9.00%,3.80%,2.60%
"Anaheim city, California",,,,,,,,,,,,,,
Estimate,"350,738","24,928","24,294","22,470","24,202","28,565","57,577","52,707","46,841","18,960","14,055","20,364","10,167","5,608"
Percent,"350,738",7.10%,6.90%,6.40%,6.90%,8.10%,16.40%,15.00%,13.40%,5.40%,4.00%,5.80%,2.90%,1.60%
"Antioc city, California",,,,,,,,,,,,,,
Estimate,"110,542","8,080","7,804","8,237","8,101","9,566","14,831","12,921","16,433","8,494","5,184","6,757","2,649","1,485"
Percent,"110,542",7.30%,7.10%,7.50%,7.30%,8.70%,13.40%,11.70%,14.90%,7.70%,4.70%,6.10%,2.40%,1.30%
"Apple Valley town, California",,,,,,,,,,,,,,
Estimate,"72,185","5,389","6,005","5,505","6,401","5,730","7,695","6,865","7,943","3,837","4,452","6,897","4,422","1,044"
