City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
California,,,,,,,,,,,,,,
Estimate,"39,250,017","2,482,422","2,524,786","2,546,294","2,585,154","2,807,120","5,902,164","5,168,066","5,198,221","2,481,314","2,206,037","3,092,039","1,538,860","717,540"
Percent,"39,250,017",6.30%,6.40%,6.50%,6.60%,7.20%,15.00%,13.20%,13.20%,6.30%,5.60%,7.90%,3.90%,1.80%
"Alameda city, California",,,,,,,,,,,,,,
Estimate,"78,907","4,520","4,777","5,244","2,447","2,934","11,217","11,595","11,768","6,936","5,255","7,228","3,549","1,437"
Percent,"78,907",5.70%,6.10%,6.60%,3.10%,3.70%,14.20%,14.70%,14.90%,8.80%,6.70%,9.20%,4.50%,1.80%
"Alhambra city, California",,,,,,,,,,,,,,
Estimate,"85,465","4,178","3,528","5,107","3,804","6,460","11,752","11,979","13,244","4,938","5,038","7,444","5,755","2,238"
Percent,"85,465",4.90%,4.10%,6.00%,4.50%,7.60%,13.80%,14.00%,15.50%,5.80%,5.90%,8.70%,6.70%,2.60%
"Anaheim city, California",,,,,,,,,,,,,,
Estimate,"351,066","24,640","23,655","24,949","24,231","26,470","57,147","43,985","47,306","21,028","16,846","22,438","10,859","7,512"
Percent,"351,066",7.00%,6.70%,7.10%,6.90%,7.50%,16.30%,12.50%,13.50%,6.00%,4.80%,6.40%,3.10%,2.10%
"Antioch city, California",,,,,,,,,,,,,,
Estimate,"110,876","6,876","7,516","7,763","7,868","6,309","14,820","15,174","15,398","8,045","7,993","8,123","3,416","1,575"
Percent,"110,876",6.20%,6.80%,7.00%,7.10%,5.70%,13.40%,13.70%,13.90%,7.30%,7.20%,7.30%,3.10%,1.40%
"Apple Valley town, California",,,,,,,,,,,,,,
Estimate,"72,542","4,840","4,985","4,757","4,969","6,432","9,906","7,375","7,835","5,185","4,638","7,013","3,486","1,121"
Percent,"72,542",6.70%,6.90%,6.60%,6.80%,8.90%,13.70%,10.20%,10.80%,7.10%,6.40%,9.70%,4.80%,1.50%
"Arden-Arcade CDP, California",,,,,,,,,,,,,,
Estimate,"106,061","7,746","6,023","8,349","5,706","6,225","16,759","12,134","12,636","6,012","6,877","10,681","3,961","2,952"
Percent,"106,061",7.30%,5.70%,7.90%,5.40%,5.90%,15.80%,11.40%,11.90%,5.70%,6.50%,10.10%,3.70%,2.80%
"Bakersfield city, California",,,,,,,,,,,,,,
Estimate,"376,371","30,640","31,316","32,142","29,152","30,815","58,250","48,386","40,588","21,894","17,578","21,761","9,353","4,496"
Percent,"376,371",8.10%,8.30%,8.50%,7.70%,8.20%,15.50%,12.90%,10.80%,5.80%,4.70%,5.80%,2.50%,1.20%
"Baldwin Park city, California",,,,,,,,,,,,,,
Estimate,"76,465","5,167","4,889","5,591","5,175","5,166","12,798","11,463","10,337","4,163","3,520","5,098","2,438",660
Percent,"76,465",6.80%,6.40%,7.30%,6.80%,6.80%,16.70%,15.00%,13.50%,5.40%,4.60%,6.70%,3.20%,0.90%
"Bellflower city, California",,,,,,,,,,,,,,
Estimate,"77,789","5,872","4,961","5,692","5,806","4,893","10,570","10,992","11,709","4,015","3,961","5,537","3,084",697
Percent,"77,789",7.50%,6.40%,7.30%,7.50%,6.30%,13.60%,14.10%,15.10%,5.20%,5.10%,7.10%,4.00%,0.90%
"Berkeley city, California",,,,,,,,,,,,,,
Estimate,"121,241","5,985","3,950","3,686","14,702","15,734","22,605","14,535","10,250","7,114","6,467","9,786","4,777","1,650"
Percent,"121,241",4.90%,3.30%,3.00%,12.10%,13.00%,18.60%,12.00%,8.50%,5.90%,5.30%,8.10%,3.90%,1.40%
"Buena Park city, California",,,,,,,,,,,,,,
Estimate,"83,148","5,106","3,941","4,022","5,934","8,535","10,507","11,570","12,155","5,532","4,479","6,486","2,558","2,323"
Percent,"83,148",6.10%,4.70%,4.80%,7.10%,10.30%,12.60%,13.90%,14.60%,6.70%,5.40%,7.80%,3.10%,2.80%
"Burbank city, California",,,,,,,,,,,,,,
Estimate,"104,451","5,985","4,816","5,116","6,546","6,016","15,584","15,374","13,906","8,431","4,174","10,201","5,688","2,614"
Percent,"104,451",5.70%,4.60%,4.90%,6.30%,5.80%,14.90%,14.70%,13.30%,8.10%,4.00%,9.80%,5.40%,2.50%
"Camarillo city, California",,,,,,,,,,,,,,
Estimate,"67,345","3,428","2,949","4,330","5,442","5,673","8,081","5,852","9,889","5,082","3,462","6,610","4,446","2,101"
Percent,"67,345",5.10%,4.40%,6.40%,8.10%,8.40%,12.00%,8.70%,14.70%,7.50%,5.10%,9.80%,6.60%,3.10%
"Carlsbad city, California",,,,,,,,,,,,,,
Estimate,"113,957","7,090","6,593","9,216","6,340","5,426","10,986","16,895","20,175","7,650","6,944","9,375","4,793","2,474"
Percent,"113,957",6.20%,5.80%,8.10%,5.60%,4.80%,9.60%,14.80%,17.70%,6.70%,6.10%,8.20%,4.20%,2.20%
"Carmichael CDP, California",,,,,,,,,,,,,,
Estimate,"63,064","4,470","4,026","3,549","2,911","3,152","9,086","8,125","8,008","4,643","3,622","5,484","4,114","1,874"
Percent,"63,064",7.10%,6.40%,5.60%,4.60%,5.00%,14.40%,12.90%,12.70%,7.40%,5.70%,8.70%,6.50%,3.00%
"Carson city, California",,,,,,,,,,,,,,
Estimate,"92,821","5,300","4,589","5,845","6,143","6,705","13,151","12,411","12,824","5,677","4,848","8,159","6,016","1,153"
Percent,"92,821",5.70%,4.90%,6.30%,6.60%,7.20%,14.20%,13.40%,13.80%,6.10%,5.20%,8.80%,6.50%,1.20%
"Castro Valley CDP, California",,,,,,,,,,,,,,
Estimate,"65,153","3,043","3,874","3,252","5,332","2,431","7,358","8,832","9,239","5,103","4,868","7,032","2,683","2,106"
Percent,"65,153",4.70%,5.90%,5.00%,8.20%,3.70%,11.30%,13.60%,14.20%,7.80%,7.50%,10.80%,4.10%,3.20%
"Chico city, California",,,,,,,,,,,,,,
Estimate,"91,545","4,321","5,383","5,024","8,444","15,423","12,962","11,284","8,617","5,071","4,134","5,252","3,286","2,344"
Percent,"91,545",4.70%,5.90%,5.50%,9.20%,16.80%,14.20%,12.30%,9.40%,5.50%,4.50%,5.70%,3.60%,2.60%
"Chino city, California",,,,,,,,,,,,,,
Estimate,"87,771","4,649","5,336","4,535","4,955","4,150","15,245","14,493","11,957","5,411","5,666","7,884","2,317","1,173"
Percent,"87,771",5.30%,6.10%,5.20%,5.60%,4.70%,17.40%,16.50%,13.60%,6.20%,6.50%,9.00%,2.60%,1.30%
"Chino Hills city, California",,,,,,,,,,,,,,
Estimate,"78,821","3,941","4,940","5,637","5,370","6,420","12,429","9,078","11,910","6,831","3,608","5,277","2,395",985
Percent,"78,821",5.00%,6.30%,7.20%,6.80%,8.10%,15.80%,11.50%,15.10%,8.70%,4.60%,6.70%,3.00%,1.20%
"Chula Vista city, California",,,,,,,,,,,,,,
Estimate,"267,169","18,572","18,563","18,810","15,455","15,988","39,523","39,812","35,947","14,298","15,157","19,032","11,513","4,499"
Percent,"267,169",7.00%,6.90%,7.00%,5.80%,6.00%,14.80%,14.90%,13.50%,5.40%,5.70%,7.10%,4.30%,1.70%
"Citrus Heights city, California",,,,,,,,,,,,,,
Estimate,"87,444","5,766","4,883","4,612","4,255","6,413","13,867","11,074","10,942","5,996","6,032","7,700","4,049","1,855"
Percent,"87,444",6.60%,5.60%,5.30%,4.90%,7.30%,15.90%,12.70%,12.50%,6.90%,6.90%,8.80%,4.60%,2.10%
"Clovis city, California",,,,,,,,,,,,,,
Estimate,"106,587","8,103","8,226","8,612","7,812","7,762","15,875","13,493","13,114","6,062","4,708","8,100","3,301","1,419"
Percent,"106,587",7.60%,7.70%,8.10%,7.30%,7.30%,14.90%,12.70%,12.30%,5.70%,4.40%,7.60%,3.10%,1.30%
"Compton city, California",,,,,,,,,,,,,,
Estimate,"97,537","8,820","7,364","7,854","8,691","8,445","12,964","11,660","12,815","5,466","3,861","5,517","3,124",956
Percent,"97,537",9.00%,7.50%,8.10%,8.90%,8.70%,13.30%,12.00%,13.10%,5.60%,4.00%,5.70%,3.20%,1.00%
"Concord city, California",,,,,,,,,,,,,,
Estimate,"128,728","7,995","8,578","7,185","6,235","9,026","20,172","17,618","17,200","8,984","7,878","9,295","6,457","2,105"
Percent,"128,728",6.20%,6.70%,5.60%,4.80%,7.00%,15.70%,13.70%,13.40%,7.00%,6.10%,7.20%,5.00%,1.60%
"Corona city, California",,,,,,,,,,,,,,
Estimate,"166,774","8,684","10,402","10,562","12,030","13,667","25,717","23,652","24,835","10,970","8,882","9,604","5,713","2,056"
Percent,"166,774",5.20%,6.20%,6.30%,7.20%,8.20%,15.40%,14.20%,14.90%,6.60%,5.30%,5.80%,3.40%,1.20%
"Costa Mesa city, California",,,,,,,,,,,,,,
Estimate,"112,825","5,697","6,287","7,782","6,731","8,075","21,650","18,053","15,392","7,948","4,487","5,984","3,090","1,649"
Percent,"112,825",5.00%,5.60%,6.90%,6.00%,7.20%,19.20%,16.00%,13.60%,7.00%,4.00%,5.30%,2.70%,1.50%
"Daly City city, California",,,,,,,,,,,,,,
Estimate,"106,484","4,457","5,039","4,999","5,022","7,071","16,378","16,180","14,207","7,751","8,013","10,090","4,842","2,435"
Percent,"106,484",4.20%,4.70%,4.70%,4.70%,6.60%,15.40%,15.20%,13.30%,7.30%,7.50%,9.50%,4.50%,2.30%
"Davis city, California",,,,,,,,,,,,,,
Estimate,"68,107","2,578","3,290","2,908","8,285","15,878","9,790","5,725","5,681","3,055","3,409","4,060","2,702",746
Percent,"68,107",3.80%,4.80%,4.30%,12.20%,23.30%,14.40%,8.40%,8.30%,4.50%,5.00%,6.00%,4.00%,1.10%
"Downey city, California",,,,,,,,,,,,,,
Estimate,"113,267","7,672","7,274","8,988","9,002","7,978","19,060","15,609","15,708","5,025","5,247","7,851","2,252","1,601"
Percent,"113,267",6.80%,6.40%,7.90%,7.90%,7.00%,16.80%,13.80%,13.90%,4.40%,4.60%,6.90%,2.00%,1.40%
"East Los Angeles CDP, California",,,,,,,,,,,,,,
Estimate,"127,804","9,808","9,917","10,649","9,409","10,586","19,996","18,362","15,181","6,070","5,211","7,821","3,040","1,754"
Percent,"127,804",7.70%,7.80%,8.30%,7.40%,8.30%,15.60%,14.40%,11.90%,4.70%,4.10%,6.10%,2.40%,1.40%
"El Cajon city, California",,,,,,,,,,,,,,
Estimate,"103,769","9,855","9,232","8,133","5,670","6,060","15,271","11,491","12,481","7,024","6,272","7,151","2,779","2,350"
Percent,"103,769",9.50%,8.90%,7.80%,5.50%,5.80%,14.70%,11.10%,12.00%,6.80%,6.00%,6.90%,2.70%,2.30%
"Elk Grove city, California",,,,,,,,,,,,,,
Estimate,"169,780","10,708","11,779","13,843","14,461","11,173","18,175","25,342","23,104","12,248","8,767","10,456","7,312","2,412"
Percent,"169,780",6.30%,6.90%,8.20%,8.50%,6.60%,10.70%,14.90%,13.60%,7.20%,5.20%,6.20%,4.30%,1.40%
"El Monte city, California",,,,,,,,,,,,,,
Estimate,"115,800","5,359","8,697","9,270","8,033","8,636","17,758","14,452","14,360","8,425","6,061","8,169","4,982","1,598"
Percent,"115,800",4.60%,7.50%,8.00%,6.90%,7.50%,15.30%,12.50%,12.40%,7.30%,5.20%,7.10%,4.30%,1.40%
"Escondido city, California",,,,,,,,,,,,,,
Estimate,"151,594","11,044","10,574","10,379","10,449","11,834","25,409","18,912","20,655","7,640","8,894","8,416","4,430","2,958"
Percent,"151,594",7.30%,7.00%,6.80%,6.90%,7.80%,16.80%,12.50%,13.60%,5.00%,5.90%,5.60%,2.90%,2.00%
"Fairfield city, California",,,,,,,,,,,,,,
Estimate,"114,757","7,562","8,623","6,775","7,839","8,596","17,924","12,931","15,206","7,925","6,648","8,794","3,797","2,137"
Percent,"114,757",6.60%,7.50%,5.90%,6.80%,7.50%,15.60%,11.30%,13.30%,6.90%,5.80%,7.70%,3.30%,1.90%
"Florence-Graham CDP, California",,,,,,,,,,,,,,
Estimate,"63,582","5,600","5,884","4,662","6,334","5,086","8,697","9,986","7,662","2,351","2,590","2,877","1,439",414
Percent,"63,582",8.80%,9.30%,7.30%,10.00%,8.00%,13.70%,15.70%,12.10%,3.70%,4.10%,4.50%,2.30%,0.70%
"Folsom city, California",,,,,,,,,,,,,,
Estimate,"77,278","4,436","4,710","7,137","5,344","2,949","8,427","9,258","15,796","5,526","3,766","5,529","3,337","1,063"
Percent,"77,278",5.70%,6.10%,9.20%,6.90%,3.80%,10.90%,12.00%,20.40%,7.20%,4.90%,7.20%,4.30%,1.40%
"Fontana city, California",,,,,,,,,,,,,,
Estimate,"209,659","14,578","15,179","19,973","15,487","16,405","33,249","29,996","27,351","12,663","7,117","12,060","4,784",817
Percent,"209,659",7.00%,7.20%,9.50%,7.40%,7.80%,15.90%,14.30%,13.00%,6.00%,3.40%,5.80%,2.30%,0.40%
"Fremont city, California",,,,,,,,,,,,,,
Estimate,"233,145","16,365","17,826","14,420","12,139","10,079","38,185","41,449","30,500","13,958","10,385","15,938","7,555","4,346"
Percent,"233,145",7.00%,7.60%,6.20%,5.20%,4.30%,16.40%,17.80%,13.10%,6.00%,4.50%,6.80%,3.20%,1.90%
"Fresno city, California",,,,,,,,,,,,,,
Estimate,"522,021","44,962","41,138","39,583","36,480","43,839","86,936","61,881","58,017","28,368","23,240","33,260","16,464","7,853"
Percent,"522,021",8.60%,7.90%,7.60%,7.00%,8.40%,16.70%,11.90%,11.10%,5.40%,4.50%,6.40%,3.20%,1.50%
"Fullerton city, California",,,,,,,,,,,,,,
